,m/z,Name,Formula
452.3613644963,453.36864,,C26H48N2O4
408.0701958208,409.07747,,C19H20O6S2
252.2089273655,253.2162,"7Z,10Z-Hexadecadienoic acid",C16H28O2
303.1430505885,304.15033,,
307.0796969783,308.08697,,C7H14N7O5P
257.1014814724,258.10876,,
382.0181418467,383.02542,,C16H14O7S2
429.8628424991,430.87012,,
270.0964025246,271.10368,Aspartyl-Histidine,C10H14N4O5
255.2562733462,256.26355,Palmitic amide,C16H33NO
442.1852146462,443.19249,,C22H26N4O6
220.1099486798,221.11723,1-_5-Acetyl-2-hydroxyphenyl_-3-methyl-1-butanone,C13H16O3
284.1120951879,285.11937,Glutamylhistidine,C11H16N4O5
207.3619285113,208.3692,,
339.1622605489,340.16954,,C24H21NO
226.1568216313,227.1641,Methyl dihydrojasmonate,C13H22O3
780.1149089578,781.12219,,C31H24N16O2S4
356.214325224,357.2216,,C11H24N12O2
555.2760287712,556.28331,,C14H41N11O10S
399.134279732,400.14156,,
203.0817397293,204.08902,,
496.992945345,498.00022,,C17H12N3O11PS
305.1223068958,306.12958,,C11H19N3O7
214.1932519061,215.20053,Isoamyl octanoate,C13H26O2
625.0834527575,626.09073,,C18H7N23O3S
319.0184694573,320.02575,,C11H13NO6S2
282.0869772451,283.09425,,
388.087619562,389.0949,,C14H20N4O5S2
329.3293864202,330.33666,,C20H43NO2
248.9766353425,249.98391,,C7H7NO5S2
223.0708561377,224.07813,,
624.0791697388,625.08645,,C29H25N2O8PS2
479.2647976741,480.27207,,C18H41N9S3
356.0197679874,357.02704,,C16H9N2O6P
284.2351682088,285.24244,Avocadyne,C17H32O3
390.1484138682,391.15569,,C12H26N2O12
200.1775759522,201.18485,Butyl octanoate,C12H24O2
458.81621537,459.82349,,C10H5NO6S7
625.0943321773,626.10161,,C17H40NO11PS5
332.0168963401,333.02417,,C15H8O9
426.0879086592,427.09519,Cysteineglutathione disulfide,C13H22N4O8S2
259.7045817515,260.71186,,
770.6384724525,771.64575,,C37H94N4O5S3
432.9804348623,433.98771,,C13H12N3O8PS2
373.3191901786,374.32647,,C21H43NO4
253.1538366941,254.16111,,C11H19N5O2
348.0601133416,349.06739,,C8H12N8O6S
423.0947593639,424.10204,,C14H21N3O10S
461.1541805823,462.16146,,C20H31NO7S2
612.2925068119,613.29978,,C28H45N4O9P
371.339965472,372.34724,,C22H45NO3
510.4648024932,511.47208,Propylene glycol mono- and diesters of fats and fatty acids,C32H62O4
626.0812779721,627.08855,,C18H19N12O10PS
381.3242811201,382.33156,,C23H43NO3
626.3062660252,627.31354,,C39H46O5S
354.1493661105,355.15664,,C10H30N2O7S2
474.0138040874,475.02108,,C14H18O14S2
389.1926807694,390.19996,,C13H32N3O8P
544.339338246,545.34661,,C24H52N2O9S
649.200046692,650.20732,,C28H31N11O4S2
761.0860451204,762.09332,,C35H23NO19
937.1304783395,938.13775,,
283.9927244606,285.0,,C10H8N2O4S2
410.0858206748,411.0931,,C19H22O6S2
218.0193438922,219.02662,,
353.0892995811,354.09658,,C11H19N3O8S
401.9988525717,403.00613,,C14H11O12P
617.1164014729,618.12368,,C21H15N17O5S
405.1280051031,406.13528,,C17H27NO6S2
249.9643149061,250.97159,,
555.2627359409,556.27001,,C27H37N7O4S
522.1746334422,523.18191,,C26H34O7S2
435.0624120409,436.06969,,C19H17NO9S
323.9324359502,324.93971,,C5H5N6O3PS3
241.204121889,242.2114,,C14H27NO2
410.0910530921,411.09833,,C25H18N2S2
332.1578594939,333.16514,,
548.9644229656,549.9717,,C12H12N11O5PS4
395.2438089883,396.25109,,C18H38NO6P
397.2464108725,398.25369,,C21H35NO6
494.3224625032,495.32974,,C17H50N8O2S3
518.1594907263,519.16677,,C15H18N16O6
247.1532269203,248.1605,Lysyl-Threonine,C10H21N3O4
614.1477412194,615.15502,,C13H31N10O14PS
256.117216464,257.12449,2-_3-Carboxy-3-aminopropyl_-L-histidine,C10H16N4O4
456.0912650935,457.09854,,C20H24O8S2
614.167638901,615.17492,"_3-hydroxy-16,17-dimethoxy-9-oxo-15-_3,4,5-trihydroxy-6-_hydroxymethyl_oxan-2-yl_oxy_tricyclo_12.3.1.1_,_nonadeca-1_17_,2,4,6_19_,14_18_,15-hexaen-8-yl_oxidanesulfonic acid",C27H34O14S
264.1033565562,265.11063,,C11H20O5S
200.2930225885,201.3003,,
470.3395769081,471.34685,Glycyrrhetinic acid,C30H46O4
555.2597446175,556.26702,,C27H42NO9P
414.1389151466,415.14619,,C11H19N12O4P
326.1770105373,327.18429,,C15H34OS3
382.1029848711,383.11026,,C14H23O10P
556.2776201481,557.2849,,C22H44N4O10S
206.0006536605,207.00793,,C6H10N2S3
663.106218396,664.11349,,C26H29N7O6S4
226.1065476547,227.11382,"_6R_-6-_l-erythro-1,2-dihydroxypropyl_-5,6,7,8-tetrahydro-4a-hydroxypterin",C9H14N4O3
208.0710454509,209.07832,,C7H8N6O2
276.133174426,277.14045,,C12H16N6O2
322.1488852059,323.15616,,C11H22N4O7
639.4225735979,640.42985,,C18H49N21O5
304.5942679322,305.60154,,
343.3086546246,344.31593,,C20H41NO3
474.1858052166,475.19308,,C21H34N2O6S2
338.1132015605,339.12048,,C13H23O8P
438.0654899793,439.07277,,C16H22O10S2
374.9848109481,375.99209,,C9H14NO9PS2
780.1034615715,781.11074,,C38H22N8O8P2
303.2926416216,304.29992,,C21H37N
289.1386375937,290.14591,Arginyl-Aspartic acid,C10H19N5O5
354.2079931844,355.21527,,C16H34O6S
231.7409715767,232.74825,,
718.4016184159,719.40889,,C28H74N6S7
288.6193596715,289.62664,,
264.2452587364,265.25254,_-_Z_-2-_5-Tetradecenyl_cyclobutanone,C18H32O
264.952237317,265.95951,,
519.3254345311,520.33271,,C20H37N15O2
264.1055611361,265.11284,,
576.9592047858,577.96648,,C21H16N5O3PS5
555.2774461917,556.28472,,C23H33N13O4
260.148486954,261.15576,Asparaginyl-Lysine,C10H20N4O4
237.2174398563,238.22472,,
294.1831072977,295.19038,Gingerol,C17H26O4
556.2680277382,557.2753,,C25H52N2OS5
302.1283052397,303.13558,,C14H23O5P
309.3031939549,310.31047,N-Hexadecanoylpyrrolidine,C20H39NO
344.1470923138,345.15437,_-_-erythro-Anethole glycol 1-glucoside,C16H24O8
315.2045967721,316.21187,,C16H29NO5
327.0663967376,328.07367,,
398.1351165693,399.14239,,C11H18N12O3S
694.2763875395,695.28366,,
338.185930009,339.19321,,C15H31O6P
493.3119054253,494.31918,,C21H43N5O8
255.0742012062,256.08148,"2-_hydroxy_4-hydroxy-3,5-dimethoxyphenyl_methylidene_amino_acetic acid",C11H13NO6
489.1855185508,490.1928,,C22H35NO7S2
246.0068104707,247.01409,,C7H10N4S3
213.0943646429,214.10164,,
687.1669258725,688.1742,,C17H26N19O8PS
220.9748978959,221.98217,,C5H7N3OS3
316.2766158004,317.28389,,C22H36O
227.9346895623,228.94197,,
307.0808150513,308.08809,,
624.0963419823,625.10362,,C33H20N8S3
251.0657701321,252.07305,,
625.0842889813,626.09157,,C29H11N11O7
494.3182002569,495.32548,,C19H50N4O6S2
382.175747131,383.18302,,C16H31O8P
347.0644411895,348.07172,,C11H10N9O3P
248.9225873588,249.92986,,C6H3NO4S3
511.4083789346,512.41566,,C26H57NO8
356.1237549523,357.13103,,C13H25O9P
540.9845337887,541.99181,,C12H16N9O6PS4
708.4425049404,709.44978,,C43H64O6S
286.011417299,287.01869,,C14H6O7
555.2610505169,556.26833,,
431.2730337484,432.28031,,C16H29N15
224.0632478938,225.07052,,
265.1015050707,266.10878,,
533.2707365086,534.27801,,C23H43N5O5S2
809.2143748273,810.22165,,C38H36N9O8PS
230.0102363015,231.01751,,
428.1545779722,429.16185,,C12H21N12O4P
472.2971114873,473.30439,,C24H44N2O5S
358.0103014225,359.01758,,C14H7N4O6P
292.2110983906,293.21837,,C12H28N4O4
310.0818762378,311.08915,,C11H19O8P
440.2270958269,441.23437,,C20H32N4O7
268.0713226384,269.0786,DHAP_6:0_,C9H17O7P
316.1463662551,317.15364,,C22H20O2
398.1388720106,399.14615,,C13H27N4O6PS
354.108099261,355.11538,,C13H23O9P
312.0975382871,313.10481,,C11H21O8P
257.9575419172,258.96482,,C9H7O3PS2
378.2307302106,379.23801,Doxapram,C24H30N2O2
482.1140919563,483.12137,,C16H26N4O9S2
288.9758777322,289.98315,,C7H15NOS5
415.3661310781,416.37341,,C24H49NO4
410.2070680253,411.21434,,C18H35O8P
308.0899960785,309.09727,"4R,5R,6S-Trihydroxy-2-hydroxymethyl-2-cyclohexen-1-one 6-_2-hydroxy-6-methylbenzoate_",C15H16O7
259.7058464663,260.71312,,
325.0494758924,326.05675,,C12H7N9OS
254.1379250845,255.1452,Homoanserine,C11H18N4O3
274.9602819761,275.96756,,
204.8962034267,205.90348,,
417.1482358944,418.15551,,C12H15N15O3
370.1059521707,371.11323,,C13H18N6O5S
213.9556022868,214.96288,,
781.1061422297,782.11342,,
340.1288250279,341.1361,,C13H25O8P
359.1427808692,360.15006,,C12H25NO11
203.0816321195,204.08891,,
229.2123516866,230.21963,,
389.2777116579,390.28499,,
394.1157975983,395.12307,,C12H28O10P2
379.1049581299,380.11223,S-Lactoylglutathione,C13H21N3O8S
556.2769642265,557.28424,,C24H49N2O6PS2
343.5336148888,344.54089,,
344.2021408518,345.20942,,C18H32O4S
310.0835220968,311.0908,,C10H18N2O7S
248.0382813898,249.04556,,C8H13N2O3PS
588.3657119566,589.37299,25-Hydroxyvitamin D2-25-glucuronide,C34H52O8
317.2202471039,318.22752,3-hydroxynonanoyl carnitine,C16H31NO5
512.987846093,513.99512,,C17H12N3O12PS
355.6157973903,356.62307,,
624.0799874356,625.08726,,C14H13N18O10P
766.4846521513,767.49193,,C32H86N4OS7
664.1143369779,665.12161,,C26H34O14P2S
384.2188536141,385.22613,,C18H40O2S3
561.1740363894,562.18131,,C13H27N11O14
366.0204309392,367.02771,,C11H16N2O6P2S
384.1550071491,385.16228,,C15H29O9P
580.3011984536,581.30847,,C27H49O11P
230.0104201643,231.0177,,C6H14O3S3
341.2202225423,342.2275,,C18H31NO5
782.1032543173,783.11053,,
486.158393482,487.16567,,C18H30O15
403.0301559141,404.03743,,C17H5N7O6
470.0623177426,471.06959,,C20H23O7PS2
278.0674353995,279.07471,,C8H22O4S3
821.5436192225,822.5509,,C36H76N11O6PS
555.2805934815,556.28787,,
425.3504768407,426.35775,Oleoylcarnitine,C25H47NO4
436.0498604488,437.05714,,C16H20O10S2
628.0808978062,629.08817,,C22H25N6O10PS2
345.2515059063,346.25878,3-hydroxyundecanoyl carnitine,C18H35NO5
664.1060643416,665.11334,,C28H41O4PS6
597.3754670206,598.38274,,C23H47N15O2S
541.0595447688,542.06682,,C21H19N9OS4
316.1440948471,317.15137,,C15H25O5P
478.0399819579,479.04726,,C16H7N12O5P
468.214819547,469.2221,,C12H36N8O7S2
475.299181078,476.30646,,C18H33N15O
311.9609997131,312.96828,,C8H8O9S2
264.1052858611,265.11256,,
480.1800051756,481.18728,,C21H32N6OS3
422.2814346181,423.28871,,C20H42N2O5S
358.1393861879,359.14666,,C13H27O9P
526.2542721547,527.26155,,C27H46N2S4
618.1815641066,619.18884,,C15H35N14O5PS3
252.1361593401,253.14344,"2,2,4,4-Tetramethyl-6-_1-oxobutyl_-1,3,5-cyclohexanetrione",C14H20O4
555.2790351782,556.28631,,C19H57NO6S5
437.2543192712,438.2616,,C20H40NO7P
203.4294251531,204.4367,,
477.8029481681,478.81022,,C10H7O6PS7
283.2875497027,284.29483,Octadecanamide,C18H37NO
270.0868945993,271.09417,,C9H19O7P
275.1593903306,276.16667,Arginyl-Threonine,C10H21N5O4
441.0331722808,442.04045,,
213.9902969943,214.99757,,C4H10N2O2S3
308.0860035685,309.09328,,C10H16N2O9
593.2267046855,594.23398,,C24H41N3O10P2
244.0180685818,245.02535,,
308.1439147017,309.15119,,
246.0505747388,247.05785,,
317.986859676,318.99414,,C11H10O7S2
680.4115442675,681.41882,,C18H52N18O10
467.3821675136,468.38944,,C24H53NO7
254.1128700952,255.12015,,C17H18S
265.9362339309,266.94351,,
555.2588798447,556.26616,,C15H45N11O3S4
296.1390252606,297.1463,,C12H25O6P
243.2280099415,244.23529,,
260.0296780985,261.03695,aldehydo-D-glucose 6-phosphate,C6H13O9P
218.0101891075,219.01747,,
310.1182567253,311.12553,,C12H23O7P
414.1656184617,415.17289,,C12H22N12O3S
301.2981078993,302.30538,Sphinganine,C18H39NO2
254.0555775157,255.06285,,C8H15O7P
322.1780188982,323.1853,Zeranol,C18H26O5
536.4804349895,537.48771,FAHFA_16:1_9Z_9-O-18:0_,C34H64O4
555.2765927484,556.28387,,C30H41N3O5S
264.1239926506,265.13127,,C10H21N2O4P
214.1205863993,215.12786,5-Hexyltetrahydro-2-oxo-3-furancarboxylic acid,C11H18O4
691.1932489055,692.20053,,C22H21N21O7
328.1288262061,329.1361,,C12H25O8P
272.0572279807,273.0645,,
347.0616590513,348.06894,,C12H9N7O6
821.6988065677,822.70608,,C38H104N5O4PS3
259.189594862,260.19687,Isoleucyl-Lysine,C12H25N3O3
383.3399300087,384.34721,,C23H45NO3
612.150096109,613.15737,,C14H41N6O10PS4
475.3062462752,476.31352,,C24H46NO6P
239.9695744684,240.97685,,C5H8N2O3S3
780.1021725895,781.10945,,C24H52N4O2S11
428.2099982208,429.21727,,C12H32N10O3S2
359.2307926297,360.23807,,C18H33NO6
553.3376916135,554.34497,,C29H43N7O4
394.0392450549,395.04652,,C14H18O9S2
376.0431198988,377.0504,,
212.0451454245,213.05242,,C6H13O6P
938.1278533042,939.13513,,C27H38N16O10S6
672.3334580845,673.34073,,C32H49N8O4PS
415.8471892743,416.85447,,
625.4066812416,626.41396,,C17H47N21O5
383.9883084127,384.99558,,C14H9O11P
364.0287101926,365.03599,,C13H16O8S2
467.1895900584,468.19687,,C23H34NO5PS
217.1314940618,218.13877,Propionylcarnitine,C10H19NO4
285.3032197573,286.3105,,C18H39NO
555.256271275,556.26355,,C41H33NO
284.1235158569,285.13079,,C18H20OS
382.139364127,383.14664,,C15H27O9P
460.1589112329,461.16619,,C21H32O7S2
298.086632715,299.09391,,C8H19N4O4PS
231.7208578486,232.72813,,
821.7029986753,822.71028,,C33H95N11O9S
384.3715876336,385.37886,,C23H48N2O2
220.9747367436,221.98201,,
354.023210852,355.03049,,C15H14O6S2
276.1312602145,277.13854,,
246.0052047967,247.01248,,C6H14O4S3
288.08450293,289.09178,Phlorin,C12H16O8
624.0949632967,625.10224,,C13H33N6O14PS3
244.0711842658,245.07846,Beta-pseudouridine,C9H12N2O6
595.2229255275,596.2302,,C37H25N9
242.1015276083,243.1088,Histidinyl-Serine,C9H14N4O4
325.1188834011,326.12616,,C14H20N3O4P
821.7089047738,822.71618,,C21H15N2O5PS13
543.8548690292,544.86215,,C11H8N6O6S7
525.4241033266,526.43138,,C27H59NO8
821.7099285988,822.71721,,C21H7N6O6PS11
424.366494068,425.37377,,C25H48N2O3
821.6961242417,822.7034,,C39H95N7O8S
522.343477649,523.35075,,C25H51N2O7P
218.1266965857,219.13397,Meprobamate,C9H18N2O4
368.3442854313,369.35156,,C27H44
627.0855889003,628.09287,,C23H34NO9PS4
296.3079126053,297.31519,Phytol,C20H40O
354.1444622407,355.15174,,C14H27O8P
244.1868750694,245.19415,,
227.2249735476,228.23225,,C14H29NO
461.174409888,462.18169,,C14H19N15O4
304.9964180547,306.00369,,C9H11N3O3S3
372.0230119044,373.03029,,C16H8N2O9
400.2405488831,401.24783,,C13H28N12O3
376.0286794537,377.03596,,C14H16O8S2
416.037997194,417.04527,,C19H12O11
357.3607476869,358.36802,,C22H47NO2
327.3136893021,328.32097,Stearoylethanolamide,C20H41NO2
475.1537276777,476.161,,C16H29NO15
692.4475624714,693.45484,,C35H60N6O8
467.5577712286,468.56505,,
257.1043475721,258.11162,,C7H19N3O5S
646.0673780166,647.07465,,C21H27N8O6PS4
485.2269513308,486.23423,,C24H39NO5S2
582.3168411909,583.32412,,C27H51O11P
290.0330718824,291.04035,,C9H14N4OS3
750.1124144583,751.11969,,C28H50N2OS10
274.0017894611,275.00907,,C8H10N4OS3
269.1122737439,270.11955,Asparaginyl-Histidine,C10H15N5O4
605.6079916057,606.61527,,
395.0276216738,396.0349,,C14H14N5O3PS2
595.9169512601,596.92423,,C10H20N4O11S7
602.3302927023,603.33757,,C23H58N2O9S3
649.3474973516,650.35477,,C19H57N9O9P2S
733.8142064025,734.82148,,C14H15N4O13PS8
656.1301952695,657.13747,,C17H29N12O10PS2
316.0834827374,317.09076,,C11H24O4S3
661.5462133441,662.55349,,C27H72N11O5P
449.808015389,450.81529,,C9H7O5PS7
601.0424684801,602.04974,,C13H35N3O9S7
821.7133665477,822.72064,,C20H7O18PS8
297.1940149414,298.20129,,C16H27NO4
501.0070865267,502.01436,,C25H12NO7PS
468.0640294617,469.07131,,C22H18N2O6P2
612.1536130462,613.16089,,C18H37N4O13PS2
382.07018907,383.07747,,C21H10N4O4
429.018755025,430.02603,,C11H20N5O3PS4
630.4435735986,631.45085,,C21H64N10O7P2
280.0712580347,281.07853,,C10H17O7P
395.0998518071,396.10713,,C13H21N3O9S
684.338806839,685.34608,,C21H40N20O7
695.0459286971,696.05321,,C26H22N3O16PS
583.2028286734,584.21011,,C21H34N11O3PS2
204.0747018724,205.08198,L-beta-aspartyl-L-alanine,C7H12N2O5
358.2178421029,359.22512,,C19H34O4S
290.1226835873,291.12996,Argininosuccinic acid,C10H18N4O6
523.3636778442,524.37095,PC_18:0_0:0_,C26H54NO7P
344.1154447718,345.12272,Dolichyl diphosphate,C12H26O7P2
662.5493530463,663.55663,,C42H70N4O2
257.9722002828,258.97948,,
507.3518896571,508.35917,,C24H49N3O8
607.0648949011,608.07217,,C28H14N7O8P
278.0402991512,279.04758,,C17H10O2S
256.0096564471,257.01693,,C16H4N2S
236.8772585638,237.88454,,
695.3250756674,696.33235,,C32H46N11O3PS
208.0260229865,209.0333,,
420.0548659948,421.06214,,C16H20O9S2
414.2254239851,415.2327,"_4R,5S,7R,11x_-11,12-Dihydroxy-1_10_-spirovetiven-2-one 12-glucoside",C21H34O8
419.1436346379,420.15091,,C18H29NO6S2
470.1918141267,471.19909,,C23H38N2S4
410.1528292852,411.16011,,C17H31O7PS
563.3516989605,564.35898,,C19H58N5O7PS2
404.0236071902,405.03088,,C15H16O9S2
229.0714548763,230.07873,,
234.1983889155,235.20567,"2,6-Di-tert-butyl-4-ethylphenol",C16H26O
534.1230605634,535.13034,,C20H18N14OS2
641.3625435799,642.36982,,C30H59NO9S2
342.1987035924,343.20598,,C10H22N12O2
334.9341667761,335.94144,,C8H5N3O6S3
805.6006722071,806.60795,,C39H91N5O3S4
605.3967803689,606.40406,,
684.5096290614,685.51691,,C32H81N2O4PS3
580.4573438377,581.46462,,C30H65N2O6P
765.3347073368,766.34198,,C35H60NO11PS2
546.3168103474,547.32409,,C24H51O11P
409.9440367374,410.95131,,C11H8O13P2
886.546123419,887.5534,,C28H76N18O10P2
555.2781033758,556.28538,,C18H53NO11S3
595.0385234178,596.0458,,C15H33NO11S6
453.1740292305,454.18131,,C12H31N5O11S
821.7168890683,822.72417,,C41H87N15O2
748.3388649204,749.34614,,C34H68O5S6
331.1994809032,332.20676,,C16H29NO6
541.062457746,542.06973,,C17H11N13O7S
458.2645780064,459.27185,,C20H43O9P
483.1093383133,484.11661,,C15H25N5O9S2
280.0471022105,281.05438,,
405.0283634239,406.03564,,C14H16NO9PS
344.070797755,345.07807,Thiamine monophosphate,C12H17N4O4PS
204.896374784,205.90365,,
772.8104680986,773.81774,,C24H23NO2S13
449.0356354461,450.04291,,C18H7N7O8
575.3644031677,576.37168,,
357.2514892879,358.25877,,C19H35NO5
532.3722975359,533.37957,,C27H52N2O8
271.2593232023,272.2666,,
442.2608259415,443.2681,,C21H46O3S3
269.9406305308,270.94791,,C8H2N2O5S2
268.1001735993,269.10745,,C19H12N2
276.1329798058,277.14026,,C12H24N2OS2
569.4503444758,570.45762,,C29H63NO9
431.1638421315,432.17112,,C13H17N15O3
583.3654015109,584.37268,,C23H61N5O3S4
275.1116739267,276.11895,Norophthalmic acid,C10H17N3O6
557.2699666003,558.27724,,C19H36N13O5P
568.1470521279,569.15433,,C16H36N6O8S4
749.5894306271,750.59671,,C39H75N9O5
821.6618173758,822.66909,,C39H87N11O5S
424.1746097486,425.18189,,C22H24N4O5
862.353322185,863.3606,,C33H59N12O7PS3
731.3332820432,732.34056,,C51H45N3S
310.2507582424,311.25803,_R_-2-Hydroxysterculic acid,C19H34O3
475.1915062084,476.19878,,C18H29N5O10
232.1059186314,233.1132,N2-Succinyl-L-ornithine,C9H16N2O5
412.2606570071,413.26793,,C18H40N2O6S
268.2038057978,269.21108,,C16H28O3
632.5826126214,633.58989,,C36H80N4S2
821.7220155293,822.72929,,C26H6N4O6S11
229.1677354243,230.17501,N-Decanoylglycine,C12H23NO3
699.9938503386,701.00113,,C15H9N16O14PS
296.1026126414,297.10989,,
562.1329161732,563.14019,,C18H32N2O14P2
833.438915592,834.44619,,C23H66N17O10P3
468.0667001888,469.07398,,C14H17N10O3PS2
637.5926751469,638.59995,,C25H76N13O3P
405.151209911,406.15849,,C12H28N3O10P
304.2249798203,305.23226,,C16H32O5
370.0939976006,371.10127,,C14H26O5S3
886.9202025702,887.92748,,C26H10N5O29P
524.2332455508,525.24052,,C23H45N2O3PS3
257.1991480958,258.20642,N-Lauroylglycine,C14H27NO3
641.0940874792,642.10136,,C18H15N19O5S2
358.2299675676,359.23724,,C11H34N8OS2
304.8908061374,305.89808,,
587.1003522627,588.10763,,C15H45N3O2S9
271.1532705554,272.16055,,C12H21N3O4
367.2358744063,368.24315,,C20H33NO5
683.2255234453,684.2328,,C37H25N13O2
366.1444658184,367.15174,,C15H27O8P
538.4955469262,539.50282,FAHFA_16:0_9-O-18:0_,C34H66O4
564.1465196973,565.1538,,
631.7381823971,632.74546,,C15H5O10PS8
557.8692265817,558.8765,,C13H11N4O7PS6
681.5833252358,682.5906,,C32H83N5O5S2
646.9210035432,647.92828,,C12H4N13O14P3
658.404801819,659.41208,,C26H58N8O9S
658.0781504204,659.08543,,C31H18N10O2S3
628.0264028394,629.03368,,C28H21O11PS2
642.1411538621,643.14843,,C15H32N8O16P2
650.3637947791,651.37107,,C31H50N6O9
680.8235038765,681.83078,,C19H8NO15PS5
356.187587036,357.19486,,C16H36O2S3
654.0141805391,655.02146,,C26H12N10O6P2S
821.5565994898,822.56388,,C28H68N23O4P
631.2280119274,632.23529,,C32H33N5O9
594.5409964629,595.54827,,C30H70N6O5
821.6766041439,822.68388,,C51H83N9
543.8722147854,544.87949,,C13H5N8O5PS5
682.4151990523,683.42248,,C29H71N4O3PS4
391.0362563423,392.04353,,C17H13NO8S
654.4575236276,655.4648,,C28H74N6S5
641.8292699111,642.83655,,C15H11N6O5PS8
645.0100681382,646.01734,,C19H28N5O6PS6
627.2120510016,628.21933,,C23H37N3O17
619.280675049,620.28795,,C26H46N5O8PS
692.2108289372,693.21811,,C42H28N8OS
330.186477756,331.19375,,C17H30O4S
725.4776623349,726.48494,,C28H80N5O5PS4
610.1781222177,611.1854,,C27H22N12O6
781.1177546666,782.12503,,C32H33NO18P2
632.1398255378,633.1471,,C30H34O9P2S
801.4127114827,802.41999,,C36H71N3O8S4
629.7932434963,630.80052,,C21H11O3PS9
621.1302372842,622.13751,,C16H31N9O11S3
398.1353860587,399.14266,,C16H23N4O6P
643.2774211328,644.2847,,C18H50N3O19P
664.9046801879,665.91196,,C22H23N3OS10
642.3457000472,643.35298,,C19H46N16O7S
713.7668795656,714.77416,,C36H95N11O2
586.6005248913,587.6078,,
734.8559144587,735.86319,,C24H21N3O2S11
651.0823249893,652.0896,,C15H15N19O8P2
689.8058307742,690.81311,,C17H6O20S5
651.1159576825,652.12323,,C32H22N5O9P
637.086740662,638.09402,,C27H23N7O6S3
408.0549330814,409.06221,,C15H20O9S2
330.1987307882,331.20601,,
685.0061405122,686.01342,,C27H19N5O9S4
770.3255565334,771.33283,,C26H59N8O10PS3
612.2935879907,613.30086,,C27H52N2O7S3
664.1104024933,665.11768,,
679.5192645271,680.52654,,C34H82NO3PS3
672.8270470382,673.83432,,C17H7NO18S5
644.2766611287,645.28394,,C20H45N12O6PS2
636.363307227,637.37058,,C19H52N14O6S2
650.9509866142,651.95826,,C22H7N9O10P2S
886.4192893705,887.42657,,C56H58N2O8
543.873426581,544.8807,,C19H12O5S7
633.5440140263,634.55129,,C38H71N3O4
631.2809896616,632.28827,,C23H29N21O2
660.6742146377,661.68149,,C40H88N2O4
593.3975777669,594.40485,,C24H63N7OS4
610.7305222073,611.7378,,
592.084197556,593.09147,,C34H16N4O5S
627.2978949539,628.30517,,
653.6708071729,654.67808,,C28H79N17
662.6980408384,663.70532,,
414.2198458494,415.22712,,C21H38N2S3
781.1026822156,782.10996,,C43H15N11O4S
635.4521839005,636.45946,PE_12:0_16:0_,C33H66NO8P
633.635914959,634.64319,,C33H79N9O2
385.0814382277,386.08871,,C13H19N7OS3
622.9433497757,623.95063,,C20H9N13S6
674.9643761329,675.97165,,C28H21NO7S6
672.3087306798,673.31601,,C29H68S8
636.2888481173,637.29612,,C25H45N6O11P
787.6467625804,788.65404,,
709.5490936641,710.55637,,
655.8503943706,656.85767,,C20H12N6O2S9
672.1608070649,673.16808,,C45H25N2O3P
660.7379358687,661.74521,,C16H7NO8S10
652.8617659808,653.86904,,C15H16N3O10PS7
603.7513564703,604.75863,,C14H4O11S8
617.4772156701,618.48449,,C37H67N3S2
638.2227048067,639.22998,,C23H40N6O11P2
638.3053891719,639.31267,,C26H51N6O6PS2
624.0982247734,625.1055,,C17H29N4O17PS
574.0749871029,575.08226,,C17H23N10O5PS3
596.8579259802,597.8652,,C17H12NO9PS6
674.6797426929,675.68702,,C43H94S2
677.6469603962,678.65424,,C31H83N9O6
649.9798874531,650.98716,,C20H7N14O7PS2
721.481952427,722.48923,,C39H71N5OS3
593.6922401229,594.69952,,
691.1418037176,692.14908,,C32H31N5O7P2S
604.1689451324,605.17622,,C16H32N10O11S2
653.0866970814,654.09397,,C25H31N7O2S6
614.4817007036,615.48898,,C26H66N10O2S2
708.4586059942,709.46588,,C30H81N2O3PS5
668.9535451349,669.96082,,C11H32N3O11PS8
637.6457222545,638.653,,C36H79N9
668.3434027738,669.35068,,C21H56N12O4S4
682.1110040322,683.11828,,C31H26N2O14S
632.398665054,633.40594,,C24H65N4O8PS2
647.040266482,648.04754,,C37H14NO9P
624.0189378585,625.02621,,C19H9N14O8PS
591.1599466908,592.16722,,C21H41N3O6S5
617.0906034405,618.09788,,C23H20N7O12P
598.4332368054,599.44051,,C22H63N8O6PS
400.1499932752,401.15727,,C15H29O10P
588.0778352569,589.08511,,C29H32OS6
633.0203436869,634.02762,,C26H7N11O8S
667.2143674863,668.22164,,C27H26N17O3P
661.5820636894,662.58934,,C26H79N9O7S
652.7197414962,653.72702,,
731.8795810177,732.88686,,C24H16N2O11S7
639.1709454951,640.17822,Malvidin 3-O-_coumaroylglucoside_,C32H31O14
631.5135012667,632.52078,,C26H73N5O9S
649.0234402774,650.03072,,C37H11N7S3
623.5373653657,624.54464,,C32H81NO3S3
655.7169083814,656.72418,,
571.8361180516,572.84339,,
684.3248604081,685.33214,,C23H65N4O6PS5
683.9070276292,684.9143,,C20H17N2O13PS5
607.5226248691,608.5299,,C35H69N5OS
665.0930815992,666.10036,,C21H16N17O6PS
637.5596019801,638.56688,,C36H80NO3PS
630.8183399038,631.82562,,C17H5N5O8S7
658.0295278927,659.0368,,
655.6353169364,656.64259,,
748.4513785633,749.45866,,C26H72N10O6S4
713.9373266997,714.9446,,C22H7N10O13PS2
602.0065517134,603.01383,,C14H35O9PS7
