,m/z,Name,Formula
640.4761990317,679.43942,,C31H56N14O
334.2719713636,357.26116,,
332.2926777337,371.25578,,C19H40O4
250.1204132546,251.12775,Ubiquinone-1,C14H18O4
662.4464550604,663.45374,,C42H63O4P
593.2161172182,594.22352,,C19H35N11O7S2
399.3348641583,400.34214,Hexadecanoylcarnitine,C23H45NO4
663.1054136873,664.11266,,C19H45N5O2S9
458.2814201455,459.28874,,C23H42N2O5S
570.2805135266,609.24354,PI_16:1_9Z_0:0_,C25H47O12P
187.1208269152,226.08406,8-Amino-7-oxononanoic acid,C9H17NO3
348.1734879605,387.13664,,C13H33O6PS
598.429250477,637.39249,,C25H59N8O6P
310.1569561079,311.16412,"2,3-Dehydrosalvipisone",C20H22O3
286.1416590615,325.10482,,C14H22O6
678.3030918407,679.31018,,C23H66O9S6
343.2358883298,344.24317,,C18H33NO5
535.295754427,558.28515,,C21H49N3O8S2
292.1886124576,331.15176,_S_-3-Octanol glucoside,C14H28O6
186.0892154645,225.05244,5-_2-Methylpropyl_tetrahydro-2-oxo-3-furancarboxylic acid,C9H14O4
612.2887473923,613.29608,,C34H40N6O3S
684.5022211825,723.46551,,C30H77N4O6PS2
522.413076563,561.37624,,C28H58O8
471.1868605013,510.1502,,C29H29NO3S
612.2944675738,635.28386,,C28H56N2O2S5
555.4346421577,556.44196,,
436.1896635057,459.17893,,C16H37O9PS
478.3868488287,517.35012,,C26H54O7
612.1133279185,613.12083,,C24H40N2O2S7
434.3607682752,457.34995,,C24H50O6
367.3086594227,406.27181,N-Oleoyl GABA,C22H41NO3
276.1572942597,299.14654,,C13H24O6
257.1019284632,258.10896,,
700.6716564106,723.66096,,C28H80N18O2
626.0882339605,627.09572,,C15H35N2O16PS3
285.0961368582,324.05913,N4-Acetylcytidine,C11H15N3O6
576.1268063633,577.13431,"Epicatechin-_2beta-_7,4beta-_6_-catechin",C30H24O12
598.7931953973,599.80038,,C17H5N5O2S9
230.0764881571,231.08398,,C14H14OS
490.2057021862,491.2132,,C23H38O7S2
190.1205077248,229.08363,,C9H18O4
543.8608576193,544.86794,,C12H16O8S8
821.5496667616,822.557,,C37H84N5O8PS2
692.8135984094,693.82074,,C15H12N5O9PS8
652.6869506947,675.67632,,C31H88N8O5
666.5908284359,667.59833,,C40H78N2O5
382.2121031609,421.17518,PA_14:0_0:0_,C17H35O7P
698.8167231406,699.82414,,C31H9NOS9
575.7441901416,614.7071,,
610.5856957538,611.59273,,C28H79N6O5P
608.6195698599,647.58253,,C35H76N8
547.0875384112,570.07697,,C12H17N15O7S2
218.1154004248,257.07865,3-Hydroxysebacic acid,C10H18O5
575.8153060521,614.77826,,C21H5O6PS6
636.2820063124,659.27137,,C16H41N14O11P
711.121152437,712.12846,,C41H21N5O6S
621.2694902115,622.27691,,C27H51N5OS5
821.7059232982,822.71296,,C42H95N9O2S2
718.7559515888,719.76335,,C18H13N3O4S12
661.1856901727,662.193,,C26H35N11O2S4
614.7266048174,615.73373,,C14H5N3O3S11
572.2394405401,595.22857,,
542.9820629924,543.9892,,C17H13N5O10S3
745.9969072755,747.00403,,C36H27O4PS6
657.337092635,658.34416,,C35H52N3O5PS
603.8609600964,604.86812,,
767.3978591271,768.40505,,C28H74N5O6PS5
618.7608756002,619.76836,,C19H9NOS11
593.3024717049,594.30985,,C18H40N15O6P
641.9168802907,642.92394,,C28H11N4O3PS5
552.2686396719,591.23159,,C25H28N16
597.785151096,598.79246,,C20H7O4PS8
666.5076752863,667.51476,,C32H70N6O6S
811.8894609069,812.89692,,C17H9N20O4PS7
533.2755281308,556.26486,,C21H35N13O2S
667.2396120411,668.24672,,C27H33N13O6S
659.0256928144,660.03314,,C24H23NO15P2S
802.5428263272,803.55001,,C40H70N10O7
614.682928044,615.69045,,
667.8311603484,706.79412,,C14H9N10O4PS8
612.6110709027,613.61831,,C37H80N4S
634.8229897678,635.83026,,C17H10N5O4PS8
771.1029454101,772.11005,,
645.2653809436,646.27251,,C20H48N5O14PS
573.9518345391,574.95888,,C11H23N6O5PS7
570.4409358987,571.44826,,C28H58N8O2S
674.6133830176,713.57634,,C24H74N20S
